Timestamp,Setpoint,Lux,Slack,Intensity,Counter,WattUsage
13:32:04:404,487,506,15,181,0,5.14
13:32:04:917,487,506,15,180,1,5.08
13:32:05:434,487,676,15,179,2,5.03
13:32:05:950,487,669,15,178,3,4.97
13:32:06:458,487,664,15,177,4,4.92
13:32:06:967,487,658,15,176,5,4.87
13:32:07:478,487,654,15,175,6,4.82
13:32:07:986,487,648,15,174,7,4.77
13:32:08:500,487,642,15,173,8,4.71
13:32:09:013,487,637,15,172,9,4.66
13:32:09:527,487,630,15,171,10,4.61
13:32:10:040,487,625,15,170,11,4.57
13:32:10:555,487,619,15,169,12,4.52
13:32:11:070,487,615,15,168,13,4.47
13:32:11:585,487,610,15,167,14,4.42
13:32:12:095,487,606,15,166,15,4.37
13:32:12:612,487,602,15,165,16,4.33
13:32:13:128,487,599,15,164,17,4.28
13:32:13:640,487,596,15,163,18,4.24
13:32:14:154,487,592,15,162,19,4.19
13:32:14:667,487,588,15,161,20,4.15
13:32:15:182,487,584,15,160,21,4.1
13:32:15:695,487,580,15,159,22,4.06
13:32:16:211,487,577,15,158,23,4.01
13:32:16:727,487,573,15,157,24,3.97
13:32:17:246,487,568,15,156,25,3.93
13:32:17:757,487,569,15,155,26,3.89
13:32:18:270,487,564,15,154,27,3.85
13:32:18:783,487,561,15,153,28,3.8
13:32:19:293,487,552,15,152,29,3.76
13:32:19:810,487,553,15,151,30,3.72
13:32:20:322,487,549,15,150,31,3.68
13:32:20:834,487,546,15,149,32,3.64
13:32:21:347,487,545,15,148,33,3.61
13:32:21:857,487,542,15,147,34,3.57
13:32:22:371,487,541,15,146,35,3.53
13:32:22:888,487,537,15,145,36,3.49
13:32:23:403,487,535,15,144,37,3.45
13:32:23:916,487,529,15,143,38,3.42
13:32:24:430,487,524,15,142,39,3.38
13:32:24:944,487,523,15,141,40,3.35
13:32:25:462,487,518,15,140,41,3.31
13:32:25:981,487,515,15,139,42,3.27
13:32:26:495,487,512,15,138,43,3.24
13:32:27:008,487,510,15,137,44,3.2
13:32:29:026,487,503,15,136,45,3.17
13:32:36:560,487,466,15,137,46,3.2
13:32:37:075,487,453,15,138,47,3.24
13:32:37:586,487,438,15,139,48,3.27
13:32:38:098,487,428,15,140,49,3.31
13:32:38:610,487,416,15,141,50,3.35
13:32:39:125,487,397,15,142,51,3.38
13:32:39:634,487,397,15,143,52,3.42
13:32:40:142,487,400,15,144,53,3.45
13:32:40:650,487,403,15,145,54,3.49
13:32:41:164,487,404,15,146,55,3.53
13:32:41:677,487,408,15,147,56,3.57
13:32:42:190,487,416,15,148,57,3.61
13:32:42:695,487,419,15,149,58,3.64
13:32:43:200,487,422,15,150,59,3.68
13:32:43:707,487,426,15,151,60,3.72
13:32:44:218,487,428,15,152,61,3.76
13:32:44:730,487,431,15,153,62,3.8
13:32:45:239,487,434,15,154,63,3.85
13:32:45:754,487,438,15,155,64,3.89
13:32:46:266,487,442,15,156,65,3.93
13:32:46:778,487,445,15,157,66,3.97
13:32:47:294,487,450,15,158,67,4.01
13:32:47:810,487,454,15,159,68,4.06
13:32:48:325,487,442,15,160,69,4.1
13:32:48:837,487,435,15,161,70,4.15
13:32:49:353,487,430,15,162,71,4.19
13:32:49:867,487,434,15,163,72,4.24
13:32:50:378,487,438,15,164,73,4.28
13:32:50:892,487,442,15,165,74,4.33
13:32:51:405,487,446,15,166,75,4.37
13:32:51:917,487,450,15,167,76,4.42
13:32:52:433,487,453,15,168,77,4.47
13:32:52:947,487,457,15,169,78,4.52
13:32:53:455,487,461,15,170,79,4.57
13:32:53:967,487,466,15,171,80,4.61
13:32:58:998,487,468,15,172,81,4.66
13:32:59:514,487,465,15,173,82,4.71
13:33:00:029,487,460,15,174,83,4.77
13:33:00:549,487,464,15,175,84,4.82
13:33:01:063,487,470,15,176,85,4.87
13:33:09:605,487,465,15,177,86,4.92
13:33:10:119,487,465,15,178,87,4.97
13:33:10:631,487,470,15,179,88,5.03
13:33:17:658,487,504,15,178,89,4.97
13:33:18:173,487,508,15,177,90,4.92
13:33:18:688,487,515,15,176,91,4.87
13:33:19:202,487,511,15,175,92,4.82
13:33:19:713,487,504,15,174,93,4.77
13:33:27:749,487,646,15,173,94,4.71
13:33:28:266,487,642,15,172,95,4.66
13:33:28:780,487,638,15,171,96,4.61
13:33:29:287,487,635,15,170,97,4.57
13:33:29:798,487,635,15,169,98,4.52
13:33:30:310,487,631,15,168,99,4.47
13:33:30:825,487,630,15,167,100,4.42
13:33:31:339,487,627,15,166,101,4.37
13:33:31:850,487,623,15,165,102,4.33
13:33:32:361,487,619,15,164,103,4.28
13:33:32:876,487,618,15,163,104,4.24
13:33:33:391,487,612,15,162,105,4.19
13:33:33:898,487,608,15,161,106,4.15
13:33:34:415,487,604,15,160,107,4.1
13:33:34:927,487,602,15,159,108,4.06
13:33:35:443,487,596,15,158,109,4.01
13:33:35:958,487,592,15,157,110,3.97
13:33:36:473,487,589,15,156,111,3.93
